PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
5909,Mifflin County Office Of Public Safety,Mifflin,Lewistown,PA,17044,,,1,,
5906,Lycoming County Department Of Public Safety,Lycoming,Montoursville,PA,17754,,,1,,
5875,East Central Emergency Network,Columbia & Montour,Bloomsburg ,PA,17815,,,1,,
5873,Clinton County Communications,Clinton,Lock Haven,PA,17745,,,1,,
3226,Howard County Emergency Communications Center,Howard,Ellicott City,MD,21043,,,1,,
3223,Garrett County 911,Garrett,Oakland,MD,21550,,,1,,
3210,Baltimore City Police Department,Baltimore City,Baltimore,MD,443-829-7958,,,1,,
1790,Jefferson County E911,Jefferson,Louisville ,GA,30434,,,1,,
4517,Lake Region 911,"Ramsey
Eddy
Towner
Benson
Nelson",Bismarck,ND,58501,,,1,,
4531,Pembina County,Pembina,Bismarck,ND,58501,,,1,,
4548,Barnes County,Barnes,Bismarck,ND,58501,,,1,,
4529,North Dakota State Radio,"Adams
Billings
Bowman
Burke
Dickey
Divide
Dunn
Emmons
Foster
Golden Valley
Grant
Griggs
Hettinger
Kidder
LaMoure
Logan
McHenry
McIntosh
McKenzie
Morton
Ransom
Sargent",Bismarck,ND,58501,,,1,,
7986,Sterling Emergency Communications Center,Logan,Sterling ,CO ,80751,,,1,,
838,Mountain View Police Department,Santa Clara,Mountain View,CA,94041,,,1,,
5879,Cumberland County Department of Public Safety,Cumberland,Carlisle,PA,17015,,,1,,
2735,Franklin County Emergency Communications Center,Franklin,Ottawa,KS,660667,,,1,,
1763,Forsyth County 911 Center,Forsyth,Cumming,GA,30028,,,1,,
1030,Vallejo Police Department,Solano,Vallejo,CA,94590,,1,,,
7041,Logan City Police Communications,Cache,Logan ,UT,84321,,,1,,
6050,Edgefield Sheriff Department,Edgefield,Edgefield,SC,29824,,,,,"1
ESINETi3"
888,Red Bluff Police Department,Tehama,Red Bluff,CA,96080,,,1,,
6048,Dorchester County Dispatch Center,Dorchester,Summerville,SC,29483,1,,,,
32328,Wicomico 911,Wicomico,Salisbury,MD,21801,,,1,,
663,Concord Police Department,Contra Costa,Concord,CA,94520,,,1,,
